date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,30.88,31.4,30.58,29.75,38122.74,-0.3,-0.97,30.252,29.202,28.424,50884.81,52076.79,56203.71,2.1
2016-02-04,30.9,31.55,30.88,30.0,51707.1,0.21,0.69,29.606,28.994,28.35,51961.15,53312.0,57090.85,2.85
2016-02-03,29.61,31.17,30.66,29.51,50027.57,0.1,0.33,28.564,28.686,28.313,51446.18,52607.15,54918.47,2.76
2016-02-02,29.16,30.96,30.59,28.8,58558.45,2.08,7.3,28.13,28.598,28.454,52059.29,52766.26,54763.66,3.23
2016-02-01,27.1,29.49,28.55,26.86,56008.19,1.18,4.31,27.626,28.566,28.524,51522.81,53929.31,54389.42,3.09
2016-01-29,25.67,27.82,27.35,25.0,43504.46,1.7,6.63,28.152,28.607,28.834,53268.77,56058.7,53826.28,2.4
2016-01-28,27.8,28.3,25.67,25.64,49132.21,-2.82,-9.9,28.382,28.577,29.397,54662.85,60531.33,53580.28,2.71
2016-01-27,28.02,28.5,28.49,25.35,53093.16,0.42,1.5,28.808,28.678,30.109,53768.12,61361.45,53259.46,2.93
2016-01-26,30.22,30.85,28.07,28.07,55876.04,-3.12,-10.0,29.066,28.265,30.633,53473.23,60735.2,52139.55,3.08
2016-01-25,29.25,31.34,31.18,28.51,64738.0,2.69,9.44,29.506,28.148,31.144,56335.8,61382.93,53306.71,3.57
2016-01-22,28.56,28.84,28.5,26.8,50474.84,1.01,3.67,29.062,27.645,31.602,58848.63,60330.64,52777.62,2.78
2016-01-21,29.36,30.99,27.8,27.22,44658.56,-1.97,-6.62,28.772,27.705,32.169,66399.81,60869.69,53823.99,2.46
2016-01-20,29.71,31.05,29.78,29.51,51618.71,-0.53,-1.75,28.548,27.939,32.845,68954.77,57229.78,54762.6,2.85
2016-01-19,28.51,30.5,30.27,28.21,70188.89,1.35,4.67,27.464,28.309,33.546,67997.17,56761.07,55259.6,3.87
