date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,2.49,2.52,2.47,2.47,243465.45,-0.01,-0.4,2.456,2.575,2.803,279460.07,360289.02,581198.0,0.41
2016-02-04,2.44,2.5,2.48,2.44,307284.78,0.04,1.64,2.472,2.624,2.848,307812.01,374590.33,692989.71,0.51
2016-02-03,2.42,2.46,2.44,2.39,229346.06,-0.02,-0.81,2.474,2.666,2.877,320989.69,382033.65,704881.22,0.38
2016-02-02,2.44,2.5,2.47,2.43,221898.2,0.05,2.07,2.524,2.72,2.925,372434.93,406710.26,791999.74,0.37
2016-02-01,2.53,2.55,2.42,2.37,395305.88,-0.14,-5.47,2.582,2.777,2.956,439697.34,439310.16,813895.02,0.66
2016-01-29,2.48,2.61,2.55,2.45,385225.12,0.07,2.82,2.694,2.831,2.982,441117.96,447123.07,816034.12,0.65
2016-01-28,2.66,2.68,2.49,2.47,373173.19,-0.2,-7.43,2.776,2.874,3.013,441368.65,479550.34,814562.8,0.63
2016-01-27,2.75,2.78,2.69,2.53,486572.25,-0.06,-2.18,2.858,2.938,3.046,443077.6,535426.32,808049.22,0.82
2016-01-26,2.95,2.96,2.76,2.7,558210.25,-0.22,-7.38,2.916,2.976,3.07,440985.6,602314.72,796867.81,0.94
2016-01-25,2.99,3.04,2.98,2.96,402409.0,0.02,0.68,2.972,3.007,3.087,438922.97,642927.93,793817.61,0.67
2016-01-22,2.94,2.99,2.96,2.9,386478.56,0.06,2.07,2.968,3.03,3.099,453128.17,802106.99,787290.22,0.65
2016-01-21,2.94,2.99,2.9,2.89,381717.94,-0.08,-2.69,2.972,3.071,3.111,517732.04,1011389.08,785777.87,0.64
2016-01-20,3.02,3.03,2.98,2.93,476112.25,-0.06,-1.97,3.018,3.087,3.128,627775.04,1027728.79,792626.27,0.8
2016-01-19,2.93,3.1,3.04,2.92,547897.12,0.08,2.7,3.036,3.129,3.145,763643.84,1177289.21,802109.96,0.92
2016-01-18,2.93,3.02,2.96,2.9,473435.0,-0.03,-1.0,3.042,3.134,3.158,846932.88,1188479.89,811598.65,0.79
2016-01-15,3.08,3.1,2.98,2.96,709497.88,-0.15,-4.79,3.092,3.133,3.172,1151085.8,1184945.17,811912.04,1.19
2016-01-14,3.01,3.18,3.13,2.89,931932.94,0.05,1.62,3.17,3.151,3.186,1505046.12,1149575.26,819897.93,1.56
2016-01-13,3.06,3.32,3.07,3.05,1155456.25,0.0,0.0,3.156,3.154,3.188,1427682.54,1080672.11,786819.0,1.94
2016-01-12,3.08,3.15,3.07,2.97,964342.31,-0.13,-4.06,3.222,3.163,3.192,1590934.59,991420.9,748497.41,1.62
2016-01-11,3.35,3.35,3.21,3.13,1994199.62,-0.16,-4.75,3.226,3.167,3.198,1530026.91,944707.29,725202.69,3.34
2016-01-08,3.16,3.37,3.37,3.08,2479299.5,0.31,10.13,3.174,3.167,3.192,1218804.54,772473.45,645955.38,4.15
2016-01-07,3.31,3.38,3.06,3.06,545115.0,-0.34,-10.0,3.132,3.151,3.18,794104.4,560166.66,541534.25,0.91
2016-01-06,3.06,3.4,3.4,3.05,1971716.5,0.31,10.03,3.152,3.169,3.186,733661.69,557523.76,534266.65,3.3
2016-01-05,2.93,3.16,3.09,2.89,659803.94,0.14,4.75,3.104,3.161,3.175,391907.22,426930.71,464717.53,1.11
2016-01-04,3.13,3.17,2.95,2.93,438087.78,-0.2,-6.35,3.108,3.182,3.182,359387.67,434717.41,477473.67,0.73
2015-12-31,3.15,3.23,3.16,3.14,355798.78,0.01,0.32,3.16,3.21,3.201,326142.35,438878.92,478598.57,0.6
2015-12-30,3.17,3.18,3.16,3.14,242901.45,-0.01,-0.32,3.17,3.221,3.215,326228.92,490220.6,488344.88,0.41
2015-12-29,3.11,3.18,3.16,3.1,262944.16,0.05,1.61,3.186,3.222,3.228,381385.82,492965.88,512201.82,0.44
2015-12-28,3.21,3.23,3.11,3.1,497206.16,-0.1,-3.12,3.218,3.221,3.235,461954.2,505573.92,524466.41,0.83
2015-12-25,3.21,3.22,3.21,3.17,271861.19,0.0,0.0,3.256,3.229,3.244,510047.16,505698.09,533362.34,0.46
2015-12-24,3.23,3.26,3.21,3.16,356231.62,-0.03,-0.93,3.26,3.217,3.252,551615.49,519437.31,552906.12,0.6
2015-12-23,3.3,3.32,3.24,3.21,518685.97,-0.09,-2.7,3.272,3.209,3.275,654212.29,522901.85,556470.66,0.87
2015-12-22,3.3,3.35,3.32,3.27,665786.06,0.02,0.61,3.258,3.203,3.297,604545.95,511009.55,548938.82,1.12
2015-12-21,3.23,3.35,3.3,3.21,737670.94,0.07,2.17,3.224,3.188,3.314,549193.64,502504.36,539840.97,1.24
2015-12-18,3.26,3.28,3.23,3.21,479702.84,-0.05,-1.52,3.202,3.182,3.334,501349.02,520229.94,532475.51,0.8
2015-12-17,3.19,3.33,3.27,3.18,869215.62,0.1,3.15,3.174,3.191,3.362,487259.12,518318.22,536524.34,1.46
2015-12-16,3.17,3.19,3.17,3.14,270354.28,0.02,0.64,3.146,3.208,3.387,391591.41,486469.16,514922.92,0.45
2015-12-15,3.19,3.23,3.15,3.14,389024.5,-0.04,-1.25,3.148,3.234,3.415,417473.15,531437.76,530853.49,0.65
2015-12-14,3.06,3.21,3.19,3.05,498447.88,0.09,2.9,3.152,3.248,3.447,455815.07,543358.91,567356.66,0.84
2015-12-11,3.1,3.12,3.09,3.05,409253.34,-0.04,-1.28,3.162,3.258,3.475,539110.85,561026.6,575198.5,0.69
2015-12-10,3.18,3.2,3.13,3.12,390877.06,-0.05,-1.57,3.208,3.286,3.507,549377.31,586374.93,617181.66,0.65
2015-12-09,3.16,3.21,3.18,3.13,399762.97,0.01,0.32,3.27,3.341,3.542,581346.9,590039.48,746961.33,0.67
2015-12-08,3.22,3.23,3.17,3.15,580734.12,-0.07,-2.16,3.32,3.391,3.575,645402.37,586868.09,900375.49,0.97
2015-12-07,3.34,3.36,3.24,3.19,914926.75,-0.09,-2.7,3.344,3.44,3.596,630902.75,577177.59,923261.04,1.53
2015-12-04,3.4,3.42,3.32,3.31,460585.66,-0.12,-3.49,3.354,3.485,3.612,582942.35,544721.09,935697.99,0.77
2015-12-03,3.4,3.47,3.44,3.36,550725.0,0.01,0.29,3.364,3.532,3.623,623372.56,554730.47,969874.1,0.92
2015-12-02,3.28,3.47,3.43,3.24,720040.31,0.15,4.57,3.412,3.566,3.623,598732.06,543376.69,1005736.34,1.21
2015-12-01,3.28,3.32,3.29,3.21,508236.03,0.01,0.3,3.462,3.596,3.619,528333.82,530269.23,994875.26,0.85
2015-11-30,3.36,3.39,3.29,3.16,675124.75,-0.07,-2.08,3.536,3.646,3.615,523452.42,591354.41,988924.44,1.13
2015-11-27,3.67,3.67,3.37,3.31,662736.69,-0.3,-8.17,3.616,3.692,3.615,506499.84,589370.4,979255.82,1.11
2015-11-26,3.7,3.73,3.68,3.66,427522.5,0.0,0.0,3.7,3.727,3.616,486088.37,647988.39,964899.43,0.72
2015-11-25,3.66,3.7,3.68,3.63,368049.12,0.01,0.27,3.72,3.742,3.605,488021.32,903883.19,970981.18,0.62
2015-11-24,3.69,3.7,3.66,3.57,483829.06,-0.03,-0.81,3.73,3.758,3.594,532204.63,1213882.88,987844.81,0.81
2015-11-23,3.78,3.79,3.69,3.68,590361.81,-0.09,-2.38,3.756,3.752,3.583,659256.4,1269344.5,993084.21,0.99
2015-11-20,3.78,3.86,3.79,3.75,560679.38,0.01,0.27,3.768,3.739,3.574,672240.96,1326674.89,993154.43,0.94
2015-11-19,3.75,3.79,3.78,3.73,437187.22,0.05,1.34,3.754,3.713,3.561,809888.41,1385017.74,1000790.56,0.73
2015-11-18,3.75,3.82,3.73,3.72,588965.69,-0.06,-1.58,3.764,3.68,3.547,1319745.06,1468095.99,1018378.39,0.99
2015-11-17,3.77,3.9,3.79,3.75,1119087.88,0.04,1.07,3.786,3.642,3.531,1895561.12,1459481.29,1060967.62,1.88
2015-11-16,3.62,3.76,3.75,3.61,655284.62,0.03,0.81,3.748,3.584,3.523,1879432.6,1386494.46,1057239.58,1.1
2015-11-13,3.73,3.8,3.72,3.7,1248916.62,-0.12,-3.12,3.71,3.537,3.516,1981108.82,1369141.24,1095000.34,2.09
2015-11-12,3.7,3.9,3.83,3.63,2986470.5,-0.01,-0.26,3.672,3.505,3.51,1960147.08,1281810.47,1095214.19,5.0
2015-11-11,3.62,3.96,3.84,3.62,3468046.0,0.24,6.67,3.596,3.468,3.495,1616446.93,1038079.16,995628.2,5.81
2015-11-10,3.54,3.64,3.6,3.5,1038445.25,0.05,1.41,3.498,3.429,3.477,1023401.46,761806.74,881861.86,1.74
2015-11-09,3.47,3.65,3.56,3.46,1163665.75,0.03,0.85,3.42,3.414,3.47,893556.33,716823.93,866917.46,1.95
2015-11-06,3.43,3.58,3.53,3.38,1144107.88,0.07,2.02,3.364,3.408,3.466,757173.65,659633.96,865421.2,1.92
2015-11-05,3.35,3.6,3.45,3.33,1267969.75,0.1,2.98,3.338,3.408,3.455,603473.87,616563.37,832674.7,2.12
2015-11-04,3.23,3.36,3.35,3.22,502818.66,0.14,4.36,3.34,3.413,3.446,459711.4,568660.79,789966.46,0.84
2015-11-03,3.29,3.31,3.21,3.18,389219.59,-0.06,-1.83,3.36,3.419,3.437,500212.03,662453.95,774182.48,0.65
2015-11-02,3.33,3.36,3.28,3.26,481752.38,-0.12,-3.53,3.408,3.461,3.434,540091.53,727984.7,768405.13,0.81
2015-10-30,3.42,3.46,3.4,3.38,375608.97,-0.06,-1.73,3.452,3.495,3.432,562094.27,820859.45,756802.72,0.63
2015-10-29,3.41,3.53,3.46,3.37,549157.38,0.02,0.58,3.478,3.514,3.422,629652.87,908617.91,765838.2,0.92
2015-10-28,3.42,3.56,3.45,3.41,705321.81,0.0,0.0,3.486,3.522,3.419,677610.19,953177.23,767001.24,1.18
2015-10-27,3.46,3.49,3.45,3.28,588617.12,-0.05,-1.43,3.478,3.525,3.413,824695.87,1001916.99,768162.45,0.99
2015-10-26,3.56,3.57,3.5,3.46,591766.06,-0.03,-0.85,3.514,3.525,3.414,915877.86,1017010.99,797032.6,0.99
2015-10-23,3.51,3.55,3.53,3.46,713402.0,0.03,0.86,3.538,3.524,3.409,1079624.63,1071208.44,814273.16,1.2
2015-10-22,3.44,3.54,3.5,3.39,788943.94,0.09,2.64,3.55,3.502,3.402,1187582.95,1048786.02,843758.01,1.32
2015-10-21,3.63,3.73,3.41,3.4,1440750.25,-0.23,-6.32,3.558,3.479,3.398,1228744.27,1011272.14,892452.46,2.41
2015-10-20,3.56,3.64,3.63,3.51,1044527.06,0.01,0.28,3.572,3.455,3.391,1179138.1,885911.02,851639.44,1.75
2015-10-19,3.58,3.79,3.62,3.55,1410499.88,0.02,0.56,3.536,3.406,3.359,1118144.13,808825.57,827424.48,2.36
2015-10-16,3.55,3.61,3.59,3.5,1253193.62,0.05,1.41,3.51,3.368,3.337,1062792.25,692746.0,798176.25,2.1
2015-10-15,3.43,3.59,3.54,3.38,994750.56,0.05,1.43,3.454,3.33,3.332,909989.09,623058.48,769207.96,1.67
2015-10-14,3.45,3.62,3.48,3.42,1192719.38,0.02,0.58,3.4,3.315,3.333,793800.0,580825.25,799682.97,2.0
2015-10-13,3.42,3.49,3.45,3.41,739557.19,-0.05,-1.43,3.338,3.301,3.339,592683.94,534407.91,784013.04,1.24
