date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,18.01,18.67,18.46,18.0,23258.84,0.46,2.56,17.186,16.909,17.189,24488.6,27747.31,27400.35,1.74
2016-02-04,17.29,18.5,18.02,17.27,29837.24,0.9,5.26,16.664,16.91,17.241,28603.74,27918.74,28047.17,2.23
2016-02-03,16.3,17.25,17.1,16.3,20811.71,0.4,2.4,16.042,16.887,17.327,28095.9,27993.59,26895.9,1.56
2016-02-02,15.56,17.29,16.67,15.56,25938.47,0.95,6.04,15.862,16.981,17.569,30487.18,28854.37,27366.92,1.94
2016-02-01,15.6,15.97,15.68,15.23,22596.76,-0.15,-0.95,15.958,17.126,17.777,29801.08,28829.02,29304.67,1.69
2016-01-29,14.8,16.1,15.85,14.21,43834.51,0.94,6.3,16.632,17.293,18.068,31006.02,29109.16,31229.97,3.28
2016-01-28,15.78,16.2,14.91,14.87,27298.07,-1.28,-7.91,17.156,17.376,18.47,27233.74,27263.33,31507.81,2.04
2016-01-27,16.5,16.95,16.2,15.44,32768.08,-0.95,-5.54,17.732,17.588,18.955,27891.28,27031.15,31775.0,2.45
2016-01-26,18.7,18.89,17.15,17.15,22508.0,-1.9,-9.97,18.1,17.62,19.364,27221.56,26424.52,31867.02,1.68
2016-01-25,18.77,19.15,19.05,18.51,28621.43,0.28,1.49,18.294,17.616,19.737,27856.95,26703.51,32956.42,2.14
2016-01-22,17.99,18.9,18.47,17.53,24973.11,0.7,3.94,17.954,17.469,20.061,27212.29,27053.39,34648.91,1.87
2016-01-21,17.5,18.95,17.79,17.5,30585.76,-0.26,-1.44,17.596,17.572,20.386,27292.93,28175.59,35224.21,2.29
2016-01-20,18.0,18.5,18.04,17.73,29419.51,-0.06,-0.33,17.444,17.767,20.764,26171.02,25798.22,36677.58,2.2
2016-01-19,17.4,18.21,18.12,17.2,25684.96,0.79,4.56,17.14,18.157,21.087,25627.47,25879.48,37294.48,1.92
2016-01-18,16.04,17.49,17.35,16.04,25398.13,0.68,4.08,16.938,18.427,21.4,25550.06,29780.32,38028.74,1.9
2016-01-15,17.04,17.77,16.68,16.26,25376.27,-0.36,-2.11,16.984,18.843,21.718,26894.48,33350.78,38767.64,1.9
