date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,22.5,23.18,22.75,22.15,47214.53,0.09,0.4,21.884,21.845,22.583,50947.85,60740.48,79109.45,2.58
2016-02-04,21.82,22.99,22.66,20.31,67620.97,0.77,3.52,21.444,22.015,22.596,55664.02,63279.07,81763.14,3.69
2016-02-03,21.2,21.98,21.89,21.19,41884.66,0.42,1.96,20.8,22.129,22.652,55375.75,65063.17,79835.64,2.28
2016-02-02,20.64,22.0,21.47,20.64,46884.58,0.82,3.97,20.742,22.432,22.879,62124.12,70003.26,82026.36,2.56
2016-02-01,20.23,20.96,20.65,20.06,51134.5,0.1,0.49,20.942,22.773,23.09,70398.0,74947.82,85001.04,2.79
2016-01-29,18.89,21.19,20.55,18.88,70795.41,1.11,5.71,21.806,23.102,23.484,70533.1,79387.11,85265.8,3.86
2016-01-28,21.17,21.68,19.44,19.44,66179.61,-2.16,-10.0,22.586,23.346,24.042,70894.12,83435.09,85209.07,3.61
2016-01-27,22.17,22.47,21.6,20.28,75626.51,-0.87,-3.87,23.458,23.769,24.696,74750.58,89704.04,86235.51,4.13
2016-01-26,24.55,25.27,22.47,22.47,88253.98,-2.5,-10.01,24.122,23.795,25.176,77882.41,93168.41,86171.1,4.81
2016-01-25,24.61,25.25,24.97,24.61,51810.0,0.52,2.13,24.604,23.747,25.658,79497.64,94902.61,85677.07,2.83
2016-01-22,24.32,24.7,24.45,23.0,72600.48,0.65,2.73,24.398,23.321,26.045,88241.11,97478.43,87034.17,3.96
2016-01-21,24.49,25.68,23.8,23.66,85461.92,-1.12,-4.49,24.106,23.177,26.424,95976.06,100247.21,88205.6,4.66
2016-01-20,25.1,26.1,24.92,24.68,91285.65,0.04,0.16,24.08,23.175,26.821,104657.51,94608.12,88529.79,4.98
2016-01-19,24.0,24.95,24.88,23.71,96330.14,0.94,3.93,23.468,23.325,27.228,108454.41,94049.45,88284.43,5.25
2016-01-18,22.25,24.25,23.94,22.25,95527.38,0.95,4.13,22.89,23.407,27.612,110307.58,95054.25,93291.18,5.21
2016-01-15,23.32,24.48,22.99,22.7,111275.22,-0.68,-2.87,22.244,23.866,28.203,106715.75,91144.49,93258.12,6.07
2016-01-14,20.71,24.05,23.67,20.6,128869.16,1.81,8.28,22.248,24.737,28.913,104518.35,86983.06,92867.48,7.03
2016-01-13,21.43,23.0,21.86,21.43,110270.15,-0.13,-0.59,22.27,25.623,29.563,84558.72,82766.98,89530.93,6.01
2016-01-12,20.96,22.33,21.99,20.21,105595.97,1.28,6.18,23.182,26.557,30.336,79644.5,79173.78,87196.6,5.76
2016-01-11,22.31,22.64,20.71,20.71,77568.27,-2.3,-10.0,23.924,27.568,31.119,79800.93,76451.53,85055.67,4.23
2016-01-08,24.02,24.17,23.01,21.53,100288.2,-0.77,-3.24,25.488,28.769,31.932,75573.22,76589.91,84835.67,5.47
2016-01-07,25.75,25.8,23.78,23.78,29071.01,-2.64,-9.99,27.226,29.671,32.629,69447.77,76164.0,84298.4,1.59
2016-01-06,26.5,26.68,26.42,25.18,85699.04,0.72,2.8,28.976,30.466,33.354,80975.23,82451.46,88181.15,4.67
2016-01-05,25.85,27.8,25.7,25.68,106378.13,-2.83,-9.92,29.932,31.13,33.928,78703.07,82519.41,91559.74,5.8
2016-01-04,31.4,31.41,28.53,28.53,56429.74,-3.17,-10.0,31.212,31.816,34.596,73102.14,91528.11,94539.61,3.08
