date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,16.46,16.62,16.15,16.15,12469.9,-0.32,-1.94,16.214,15.771,16.182,19016.46,19154.18,22030.06,0.36
2016-02-04,16.0,16.63,16.46,16.0,16215.18,0.19,1.17,16.048,15.794,16.369,19834.62,19488.53,22955.74,0.47
2016-02-03,16.4,16.44,16.26,15.7,16706.74,-0.2,-1.22,15.704,15.74,16.525,19917.24,20037.06,22441.28,0.48
2016-02-02,15.7,16.85,16.48,15.62,25610.78,0.77,4.9,15.408,15.772,16.799,21949.61,21482.74,22864.09,0.74
2016-02-01,15.4,16.1,15.72,15.3,24079.71,0.42,2.75,15.152,15.848,17.037,21023.98,21593.4,23370.72,0.69
2016-01-29,14.9,15.67,15.32,14.76,16560.71,0.58,3.94,15.328,15.894,17.365,19291.9,21769.62,23462.81,0.48
2016-01-28,14.65,15.15,14.74,14.46,16628.28,-0.04,-0.27,15.54,15.933,17.836,19142.43,22039.86,23657.55,0.48
2016-01-27,15.37,15.6,14.78,13.8,26868.56,-0.44,-2.89,15.776,16.116,18.355,20156.87,22688.7,23793.32,0.77
2016-01-26,16.6,16.6,15.2,15.14,20982.63,-1.42,-8.54,16.136,16.248,18.87,21015.87,22614.25,23636.56,0.6
2016-01-25,16.55,16.84,16.6,16.42,15419.34,0.23,1.41,16.544,16.466,19.362,22162.82,23130.39,24454.93,0.44
2016-01-22,16.12,16.48,16.38,15.88,15813.36,0.43,2.7,16.46,16.593,19.817,24247.33,24905.94,24644.84,0.45
2016-01-21,16.38,17.0,15.92,15.9,21700.45,-0.68,-4.1,16.326,16.944,20.274,24937.28,26422.95,25353.26,0.62
2016-01-20,17.1,17.3,16.58,16.52,31163.56,-0.68,-3.94,16.456,17.309,20.758,25220.53,24845.51,26772.33,0.9
2016-01-19,16.25,17.3,17.24,16.23,26717.39,1.02,6.29,16.36,17.825,21.247,24212.64,24245.44,27585.1,0.77
2016-01-18,15.49,16.58,16.18,15.28,25841.88,0.47,2.99,16.388,18.226,21.705,24097.96,25148.04,30087.36,0.74
2016-01-15,16.6,16.63,15.71,15.6,19263.12,-0.87,-5.25,16.726,18.835,22.261,25564.55,25156.0,35229.78,0.55
2016-01-14,15.5,16.67,16.57,15.2,23116.71,0.46,2.85,17.562,19.738,22.804,27908.63,25275.24,36918.03,0.66
2016-01-13,17.58,17.77,16.1,16.03,26124.1,-1.27,-7.31,18.162,20.594,23.25,24470.48,24897.93,37563.77,0.75
2016-01-12,17.32,18.32,17.38,17.01,26144.01,-0.49,-2.74,19.29,21.492,23.66,24278.23,24658.87,37257.12,0.75
