date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,6.28,6.35,6.11,6.1,191520.83,-0.2,-3.17,6.268,6.01,6.161,363444.13,241799.23,201776.15,1.07
2016-02-04,6.25,6.49,6.31,6.21,405205.91,0.05,0.8,6.16,6.033,6.215,349809.99,233354.82,202049.64,2.26
2016-02-03,6.33,6.39,6.26,6.14,350567.84,-0.26,-3.99,5.97,6.021,6.266,287239.8,206150.72,183322.31,1.96
2016-02-02,6.3,6.74,6.53,6.11,618141.31,0.4,6.53,5.856,6.03,6.36,243774.89,189040.57,173846.5,3.45
2016-02-01,5.6,6.13,6.13,5.36,251784.78,0.56,10.05,5.702,6.032,6.436,148358.7,145802.46,152343.32,1.4
2016-01-29,5.34,5.63,5.57,5.31,123350.13,0.2,3.72,5.752,6.059,6.562,120154.33,137287.26,144812.72,0.69
2016-01-28,5.66,5.76,5.36,5.3,92354.93,-0.33,-5.8,5.906,6.119,6.765,116899.64,143141.98,142770.35,0.52
2016-01-27,5.78,5.87,5.69,5.38,133243.3,-0.07,-1.22,6.072,6.208,6.987,125061.65,149656.56,144729.33,0.74
2016-01-26,6.32,6.32,5.76,5.74,141060.34,-0.62,-9.72,6.204,6.238,7.203,134306.25,151494.27,147068.36,0.79
2016-01-25,6.39,6.45,6.38,6.28,110762.96,0.04,0.63,6.362,6.3,7.437,143246.22,154185.04,154316.98,0.62
2016-01-22,6.28,6.38,6.34,6.07,107076.65,0.15,2.42,6.366,6.311,7.601,154420.19,161753.08,154268.71,0.6
2016-01-21,6.23,6.49,6.19,6.15,133164.98,-0.16,-2.52,6.332,6.397,7.772,169384.32,170744.47,154587.75,0.74
2016-01-20,6.52,6.55,6.35,6.3,179466.34,-0.2,-3.05,6.344,6.511,7.962,174251.48,160493.9,154424.97,1.0
2016-01-19,6.43,6.64,6.55,6.35,185760.17,0.15,2.34,6.272,6.69,8.159,168682.28,158652.43,150984.34,1.04
2016-01-18,6.1,6.59,6.4,5.98,166632.81,0.22,3.56,6.238,6.839,8.349,165123.85,158884.19,147991.7,0.93
2016-01-15,6.24,6.43,6.17,6.1,181897.3,-0.06,-0.96,6.256,7.065,8.555,169085.96,152338.17,150357.71,1.01
2016-01-14,5.85,6.34,6.25,5.7,157500.77,0.27,4.51,6.462,7.41,8.751,172104.61,142398.73,148016.65,0.88
2016-01-13,6.43,6.53,5.99,5.97,151620.34,-0.39,-6.11,6.678,7.765,8.929,146736.31,139802.1,144087.98,0.85
2016-01-12,6.47,6.56,6.38,6.18,167968.05,-0.11,-1.7,7.108,8.167,9.127,148622.58,142642.46,141083.73,0.94
2016-01-11,7.19,7.19,6.49,6.49,186443.34,-0.72,-9.99,7.44,8.573,9.3,152644.52,154448.93,135489.34,1.04
2016-01-08,7.54,7.75,7.2,6.73,196990.56,-0.13,-1.77,7.874,8.891,9.455,135590.39,146784.35,128897.62,1.1
2016-01-07,8.07,8.07,7.33,7.33,30659.27,-0.81,-9.95,8.358,9.147,9.578,112692.85,138431.03,122816.43,0.17
2016-01-06,8.01,8.18,8.14,7.91,161051.69,0.11,1.37,8.852,9.413,9.694,132867.88,148356.05,125863.47,0.9
2016-01-05,8.19,8.58,8.04,7.79,188077.73,-0.62,-7.16,9.226,9.627,9.784,136662.33,143316.25,122999.63,1.05
2016-01-04,9.62,9.68,8.66,8.66,101172.68,-0.96,-9.98,9.706,9.859,9.901,156253.34,137099.2,119454.77,0.56
2015-12-31,9.7,9.78,9.62,9.6,82502.87,-0.18,-1.84,9.908,10.044,9.979,157978.32,148377.26,122857.69,0.46
2015-12-30,9.9,10.0,9.8,9.61,131534.45,-0.21,-2.1,9.936,10.091,10.006,164169.22,153634.56,127044.7,0.73
2015-12-29,10.26,10.3,10.01,9.9,180023.94,-0.43,-4.12,9.974,10.093,9.99,163844.21,148373.86,125661.95,4.64
2015-12-28,9.66,10.56,10.44,9.58,286032.75,0.77,7.96,10.028,10.087,9.972,149970.17,139525.0,121896.21,7.37
2015-12-25,9.72,9.85,9.67,9.51,109797.58,-0.09,-0.92,10.012,10.026,9.928,117945.07,116529.75,116894.71,2.83
2015-12-24,9.97,10.04,9.76,9.45,113457.36,-0.24,-2.4,10.18,10.019,9.944,138776.19,111010.89,121917.86,2.92
2015-12-23,10.25,10.28,9.99,9.95,129909.44,-0.28,-2.73,10.246,10.008,10.011,143099.91,107201.82,124189.4,3.35
2015-12-22,10.38,10.48,10.28,10.11,110653.72,-0.08,-0.77,10.212,9.974,10.073,132903.51,103370.9,124971.18,2.85
2015-12-21,10.32,10.45,10.36,10.28,125907.26,-0.15,-1.43,10.146,9.941,10.119,129079.82,102683.0,124959.57,3.24
2015-12-18,10.1,10.53,10.51,10.03,213953.19,0.43,4.27,10.04,9.943,10.152,115114.42,101810.34,126299.73,5.51
2015-12-17,9.82,10.15,10.09,9.82,135075.94,0.25,2.54,9.858,9.914,10.183,83245.58,97338.12,125795.14,3.48
2015-12-16,10.0,10.0,9.82,9.8,78927.44,-0.13,-1.31,9.77,9.921,10.248,71303.73,100454.84,129543.09,2.03
