date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-01-28,14.25,14.68,13.08,13.06,178773.8,-1.43,-9.86,15.154,16.089,19.261,195933.11,210441.64,230750.38,2.14
2016-01-27,15.49,15.58,14.51,13.66,244358.77,-0.67,-4.41,15.73,16.533,19.746,211454.42,223666.67,230232.81,2.92
2016-01-26,16.5,16.62,15.18,15.17,209672.97,-1.67,-9.91,16.374,16.879,20.159,217155.64,235836.96,229954.67,2.51
2016-01-25,16.26,17.15,16.85,16.26,160763.98,0.7,4.33,16.87,17.358,20.567,213881.09,216848.96,227408.27,1.92
2016-01-22,16.08,16.5,16.15,15.52,186096.05,0.19,1.19,16.91,17.892,20.914,218285.97,217327.27,230463.4,2.23
2016-01-21,17.29,17.7,15.96,15.96,256380.31,-1.77,-9.98,17.024,18.742,21.282,224950.16,216792.3,232665.1,3.07
2016-01-20,17.7,18.88,17.73,17.5,272864.91,0.07,0.4,17.336,19.646,21.645,235878.93,210203.84,232669.01,3.27
2016-01-19,17.08,17.79,17.66,16.51,193300.19,0.61,3.58,17.384,20.425,21.887,254518.27,215815.47,230182.24,2.31
2016-01-18,15.7,17.56,17.05,15.7,182788.41,0.33,1.97,17.846,21.131,22.071,219816.83,239572.75,229650.51,2.19
2016-01-15,17.58,18.09,16.72,16.01,219417.0,-0.8,-4.57,18.874,21.877,22.265,216368.56,258905.92,226951.71,2.63
2016-01-14,16.2,17.95,17.52,16.17,311024.12,-0.45,-2.5,20.46,22.433,22.458,208634.43,251059.13,223359.34,3.72
2016-01-13,17.97,18.9,17.97,17.97,366061.62,-2.0,-10.02,21.956,22.959,22.6,184528.75,236798.95,216707.75,4.38
2016-01-12,19.97,19.97,19.97,19.97,19793.0,-2.22,-10.01,23.466,23.439,22.746,177112.67,224072.39,207201.72,0.24
2016-01-04,24.6,24.62,22.19,22.19,165547.06,-2.46,-9.98,24.416,23.776,22.843,259328.68,237967.59,214623.67,1.98
2015-12-31,25.0,26.03,24.65,24.65,180746.34,-0.35,-1.4,24.88,23.936,22.836,301443.28,243599.54,221835.43,2.16
2015-12-30,25.3,25.72,25.0,24.81,190495.73,-0.52,-2.04,24.406,23.821,22.699,293483.83,248537.9,226070.25,2.28
2015-12-29,24.51,25.97,25.52,23.9,328981.22,0.8,3.24,23.962,23.644,22.463,289069.15,255134.18,226670.45,3.94
2015-12-28,24.51,25.15,24.72,23.67,430873.03,0.21,0.86,23.412,23.349,22.224,271032.1,244549.0,223034.15,5.16
2015-12-25,22.4,24.51,24.51,22.4,376120.09,2.23,10.01,23.136,23.01,22.033,216606.49,219728.26,218213.63,4.5
2015-12-24,22.68,22.69,22.28,21.7,140949.09,-0.5,-2.19,22.992,22.653,21.886,185755.8,194997.5,216072.18,1.69
2015-12-23,22.77,23.23,22.78,22.58,168422.34,0.01,0.04,23.236,22.483,21.97,203591.96,195659.55,219945.1,2.02
2015-12-22,23.5,23.75,22.77,22.18,238795.95,-0.57,-2.44,23.326,22.24,22.076,221199.21,196616.55,228839.25,2.86
2015-12-21,23.5,24.44,23.34,23.3,158745.0,-0.45,-1.89,23.286,22.053,22.092,218065.91,190331.05,227336.72,1.9
