date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,18.18,18.33,17.82,17.76,354773.41,-0.72,-3.88,18.542,17.82,18.142,457085.74,355668.34,295739.45,3.55
2016-02-04,18.86,18.88,18.55,18.36,385277.91,0.04,0.22,18.614,17.855,18.227,462498.02,334879.99,298388.55,3.85
2016-02-03,18.55,18.69,18.54,18.03,360932.59,-0.55,-2.88,18.212,17.79,18.241,456374.35,315213.79,282098.66,3.61
2016-02-02,18.44,19.28,19.09,18.39,553269.31,0.37,1.98,17.718,17.807,18.36,429116.34,300167.6,277832.97,5.53
2016-02-01,18.5,18.99,18.71,18.2,631175.5,0.53,2.92,17.186,17.791,18.435,358782.38,273816.72,267068.09,6.31
2016-01-29,16.8,18.18,18.18,16.71,381834.81,1.65,9.98,17.098,17.739,18.548,254250.93,230239.54,247655.17,3.82
2016-01-28,16.08,17.68,16.54,16.08,354659.53,0.47,2.92,17.096,17.75,18.803,207261.96,214582.45,237865.72,3.55
2016-01-27,16.49,16.69,16.07,15.62,224642.56,-0.36,-2.19,17.368,18.002,19.152,174053.23,201336.17,233343.54,2.25
2016-01-26,18.0,18.13,16.43,16.43,201599.52,-1.83,-10.02,17.896,18.247,19.537,171218.86,207003.7,232656.68,2.02
2016-01-25,18.37,18.49,18.27,18.1,108518.22,0.1,0.55,18.396,18.47,19.895,188851.06,214042.46,239126.86,1.09
2016-01-22,18.11,18.33,18.17,17.75,146889.98,0.27,1.51,18.38,18.463,20.205,206228.15,235810.56,243947.74,1.47
2016-01-21,18.41,18.93,17.9,17.86,188615.88,-0.81,-4.33,18.404,18.599,20.508,221902.94,261897.1,263349.13,1.89
2016-01-20,18.8,19.18,18.71,18.62,210470.7,-0.22,-1.16,18.636,18.691,20.898,228619.11,248983.53,292514.18,2.1
2016-01-19,18.16,18.99,18.93,18.16,289760.5,0.74,4.07,18.598,18.912,21.237,242788.53,255498.33,297533.58,2.9
2016-01-18,17.9,18.53,18.19,17.8,195403.69,-0.07,-0.38,18.544,19.078,21.559,239233.85,260319.45,304803.27,1.95
2016-01-15,18.94,19.05,18.29,18.18,225263.91,-0.78,-4.09,18.546,19.357,21.902,265392.96,265070.8,315888.88,2.25
2016-01-14,17.96,19.1,19.06,17.81,222196.77,0.56,3.03,18.794,19.855,22.264,301891.27,261148.99,340935.32,2.22
2016-01-13,18.99,19.2,18.52,18.43,281317.78,-0.16,-0.86,18.746,20.301,22.543,269347.95,265350.92,348575.79,2.81
2016-01-12,18.48,19.1,18.66,18.35,271987.12,0.43,2.36,19.226,20.826,22.851,268208.14,258309.67,367750.33,2.72
2016-01-11,18.96,19.38,18.2,18.12,326199.22,-1.34,-6.86,19.612,21.32,23.171,281405.05,264211.27,393305.17,3.26
