date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-12-15,20.79,21.76,21.42,20.42,188945.02,0.7,3.38,20.28,19.771,19.164,159225.22,194516.1,165113.61,10.58
2015-12-14,19.46,20.77,20.72,19.27,157394.11,1.26,6.47,20.048,19.368,19.01,168220.15,182926.25,164049.26,8.81
2015-12-11,19.35,20.2,19.46,19.1,104694.6,-0.05,-0.26,19.954,19.012,18.922,187943.61,177738.51,163772.11,5.86
2015-12-10,19.97,20.1,19.51,19.29,135310.8,-0.78,-3.84,20.124,18.837,18.867,246286.97,180482.01,166244.71,7.58
2015-12-09,19.91,21.5,20.29,19.8,209781.55,0.03,0.15,19.914,18.848,18.803,254909.34,180648.35,167450.45,11.75
2015-12-08,19.8,20.9,20.26,19.38,233919.67,0.01,0.05,19.262,18.815,18.713,229806.98,177058.04,167847.44,13.1
2015-12-07,20.5,20.5,20.25,19.55,256011.41,-0.06,-0.29,18.688,18.715,18.623,197632.34,166315.16,169971.74,14.34
2015-12-04,18.63,20.31,20.31,18.18,396411.41,1.85,10.02,18.07,18.652,18.484,167533.41,169263.44,164681.44,22.2
2015-12-03,17.08,18.68,18.46,17.08,178422.67,1.43,8.4,17.55,18.502,18.322,114677.05,144678.35,151018.75,9.99
2015-12-02,17.3,17.8,17.03,16.8,84269.74,-0.36,-2.07,17.782,18.472,18.244,106387.35,134713.01,150310.17,4.72
2015-12-01,17.0,17.81,17.39,16.84,73046.49,0.23,1.34,18.368,18.557,18.22,124309.09,135711.12,151524.67,4.09
2015-11-30,17.71,18.0,17.16,16.05,105516.72,-0.55,-3.11,18.742,18.651,18.14,134997.98,145172.28,151898.76,5.91
2015-11-27,19.59,19.59,17.71,17.68,132129.64,-1.91,-9.73,19.234,18.831,18.081,170993.48,149805.71,151341.62,7.4
2015-11-26,19.85,20.37,19.62,19.45,136974.17,-0.34,-1.7,19.454,18.896,18.042,174679.65,152007.41,151274.68,7.67
2015-11-25,19.55,20.55,19.96,19.54,173878.45,0.7,3.63,19.162,18.758,17.904,163038.67,154252.56,150742.32,9.74
2015-11-24,19.6,19.6,19.26,19.07,126490.9,-0.36,-1.83,18.746,18.61,17.758,147113.14,158636.84,148936.8,7.08
2015-11-23,18.99,19.92,19.62,18.5,285494.25,0.81,4.31,18.56,18.53,17.678,155346.58,173628.32,149881.17,15.99
2015-11-20,18.03,18.84,18.81,18.03,150560.48,0.65,3.58,18.428,18.315,17.602,128617.93,160099.44,144998.22,8.43
2015-11-19,17.95,18.31,18.16,17.68,78769.28,0.28,1.57,18.338,18.142,17.589,129335.16,157359.15,151243.74,4.41
2015-11-18,18.27,18.47,17.88,17.65,94250.77,-0.45,-2.46,18.354,18.015,17.574,145466.44,165907.33,157306.52,5.28
2015-11-17,19.48,19.48,18.33,18.2,167658.11,-0.63,-3.32,18.474,17.882,17.565,170160.55,167338.22,167592.64,9.39
2015-11-16,18.38,19.2,18.96,18.0,151851.03,0.6,3.27,18.5,17.628,17.551,191910.05,158625.24,167809.54,8.5
2015-11-13,17.9,18.84,18.36,17.84,154146.62,0.12,0.66,18.202,17.331,17.514,191580.94,152877.54,173339.98,8.63
2015-11-12,18.48,18.6,18.24,17.86,159425.69,-0.24,-1.3,17.946,17.187,17.521,185383.13,150541.96,182466.23,8.93
2015-11-11,18.6,18.65,18.48,18.01,217721.3,0.02,0.11,17.676,17.049,17.524,186348.22,147232.08,187467.45,12.19
2015-11-10,17.4,18.93,18.46,17.17,276405.62,0.99,5.67,17.29,16.906,17.46,164515.9,139236.75,187391.27,15.48
2015-11-09,17.0,17.78,17.47,16.8,150205.47,0.39,2.28,16.756,16.825,17.437,125340.42,126134.03,187150.39,8.41
2015-11-06,16.84,17.25,17.08,16.74,123157.58,0.19,1.12,16.46,16.888,17.419,114174.13,129897.01,191358.29,6.9
2015-11-05,16.76,17.19,16.89,16.49,164251.12,0.34,2.05,16.428,17.035,17.372,115700.79,145128.34,192824.16,9.2
