date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-05,6.13,6.17,6.05,6.04,74489.41,-0.06,-0.98,5.982,5.964,6.129,93399.57,112801.47,154696.99,1.05
2016-02-04,5.99,6.17,6.11,5.99,111966.11,0.13,2.17,5.948,6.007,6.164,102017.07,122302.66,161363.47,1.58
2016-02-03,5.9,6.01,5.98,5.81,78965.34,0.01,0.17,5.86,6.04,6.2,98239.57,144150.99,158291.92,1.11
2016-02-02,5.82,6.06,5.97,5.81,109291.84,0.17,2.93,5.844,6.091,6.279,114459.04,158097.71,162354.74,1.54
2016-02-01,5.83,5.89,5.8,5.7,92285.15,-0.08,-1.36,5.818,6.146,6.352,124783.27,169511.22,169687.59,1.3
2016-01-29,5.69,5.97,5.88,5.62,117576.89,0.21,3.7,5.946,6.188,6.455,132203.38,176376.79,176445.02,1.66
2016-01-28,5.82,5.91,5.67,5.64,93078.64,-0.23,-3.9,6.066,6.203,6.598,142588.24,180899.14,178690.11,1.31
2016-01-27,5.99,5.99,5.9,5.44,160062.69,0.06,1.03,6.22,6.266,6.753,190062.41,191076.85,183036.99,2.26
2016-01-26,6.36,6.39,5.84,5.82,160913.0,-0.6,-9.32,6.338,6.283,6.898,201736.37,189386.96,185296.13,2.27
2016-01-25,6.49,6.56,6.44,6.37,129385.66,-0.04,-0.62,6.474,6.323,7.04,214239.17,189637.51,192535.3,1.83
2016-01-22,6.51,6.63,6.48,6.21,169501.23,0.04,0.62,6.43,6.294,7.169,220550.2,196592.51,196177.35,2.39
2016-01-21,6.39,6.8,6.44,6.39,330449.47,-0.05,-0.77,6.34,6.321,7.297,219210.04,200424.29,203220.39,4.66
2016-01-20,6.45,6.54,6.49,6.32,218432.5,-0.03,-0.46,6.312,6.359,7.43,192091.28,172432.84,207174.08,3.08
2016-01-19,6.22,6.6,6.52,6.15,223426.97,0.3,4.82,6.228,6.467,7.565,177037.54,166611.78,208763.17,3.15
2016-01-18,5.93,6.33,6.22,5.82,160940.84,0.19,3.15,6.172,6.557,7.698,165035.85,169863.97,215723.09,2.27
2016-01-15,6.26,6.3,6.03,5.92,162800.44,-0.27,-4.29,6.158,6.722,7.854,172634.81,176513.24,236867.55,2.3
2016-01-14,5.71,6.35,6.3,5.71,194855.67,0.23,3.79,6.302,6.993,8.015,181638.53,176481.08,252427.67,2.75
2016-01-13,6.3,6.35,6.07,6.02,143163.78,-0.17,-2.72,6.406,7.24,8.148,152774.4,174997.12,257483.16,2.02
2016-01-12,6.17,6.29,6.24,6.01,163418.52,0.09,1.46,6.706,7.512,8.298,156186.03,181205.3,269327.77,2.31
2016-01-11,6.72,6.73,6.15,6.11,198935.64,-0.6,-8.89,6.942,7.757,8.439,174692.08,195433.09,278816.11,2.81
2016-01-08,7.0,7.16,6.75,6.4,207819.05,-0.07,-1.03,7.286,8.043,8.581,180391.68,195762.19,294934.86,2.93
2016-01-07,7.41,7.46,6.82,6.81,50535.0,-0.75,-9.91,7.684,8.272,8.72,171323.63,206016.49,322831.3,0.71
2016-01-06,7.45,7.61,7.57,7.37,160221.92,0.15,2.02,8.074,8.501,8.893,197219.85,241915.31,378206.02,2.26
2016-01-05,7.21,7.85,7.42,7.12,255948.8,-0.45,-5.72,8.318,8.662,9.009,206224.58,250914.56,405040.71,3.61
2016-01-04,8.68,8.68,7.87,7.87,227433.62,-0.87,-9.95,8.572,8.839,9.113,216174.1,261582.21,415087.9,3.21
