2011-07-25,8250万股
2011-11-02,11000万股
2011-12-31,11000万股
2012-02-02,11000万股
2012-05-03,11000万股
2012-05-10,14300万股
2012-11-02,14300万股
2012-12-31,14300万股
2013-05-08,14529.9万股
2013-05-23,14529.9万股
2013-06-03,18888.87万股
2013-12-20,18921.37万股
2014-02-26,18912.14万股
2014-03-31,18912.14万股
2014-05-20,25531.389万股
2014-09-30,25531.389万股
2014-10-10,25531.389万股
2014-11-03,25531.389万股
2014-12-31,25531.389万股
2015-02-27,25531.389万股
2015-03-02,25524.72万股
2015-04-28,25524.72万股
2015-05-07,33182.136万股
2015-06-05,33182.136万股
2015-06-30,33182.136万股
2015-11-03,33182.136万股
2015-11-10,33182.136万股
