2004-06-29,5010万股
2004-07-15,6770万股
2005-11-03,6770万股
2005-11-10,6770万股
2006-05-18,10155万股
2007-06-07,10155万股
2007-12-31,10155万股
2008-06-30,10155万股
2008-12-31,10155万股
2009-02-17,10155万股
2009-12-31,10155万股
2010-06-30,10155万股
2010-12-31,10155万股
2011-06-30,10155万股
2011-11-08,12633.142万股
2011-12-31,12633.142万股
2012-11-06,12633.142万股
2012-11-08,12633.142万股
2012-12-31,12633.142万股
2013-05-27,25266.284万股
2013-12-31,25266.284万股
2014-06-16,25266.284万股
2014-06-26,28645.0919万股
2014-06-30,28645.0919万股
2014-11-10,28645.0919万股
2015-06-24,28645.0919万股
2015-06-26,28645.0919万股
2016-01-26,31958.7943万股
