1993-08-06,3215.84万股
1993-11-19,5015.84万股
1994-06-28,5015.84万股
1995-11-16,5517.424万股
1995-12-28,7022.176万股
1996-04-29,8426.6112万股
1997-06-20,10111.9334万股
1997-09-03,12639.9168万股
1999-03-15,12639.9168万股
2000-10-09,12639.9168万股
2000-10-14,12639.9168万股
2002-07-15,13903.9113万股
2003-06-10,16684.6936万股
2004-06-16,20021.6324万股
2005-06-22,24025.9589万股
2005-12-07,24025.9589万股
2006-06-08,26428.5548万股
2006-12-07,26428.5548万股
2007-06-27,29071.4103万股
2008-06-11,31978.5513万股
2009-06-17,35176.4064万股
