1992-08-27,7370.9772万股
1996-06-14,9977.9772万股
1996-08-20,13969.1681万股
1998-01-07,24213.7826万股
1998-04-30,33899.2956万股
2000-04-07,36658.5444万股
2001-04-12,65985.3799万股
2001-12-31,65985.3799万股
2004-03-31,72442.0221万股
2004-10-13,144884.0442万股
2005-12-27,144884.0442万股
2006-12-27,144884.0442万股
2007-12-27,144884.0442万股
2008-04-01,167476.912万股
2008-12-29,167476.912万股
2010-06-30,167476.912万股
2010-12-17,167476.912万股
2010-12-27,167476.912万股
2010-12-31,167476.912万股
2011-04-01,167476.912万股
