2006-11-16,5100万股
2006-12-08,6800万股
2007-03-08,6800万股
2007-03-16,10200万股
2007-12-31,10200万股
2009-12-03,10200万股
2009-12-08,10200万股
2009-12-31,10200万股
2010-05-19,10200万股
2010-05-26,20400万股
2010-12-31,20400万股
2011-06-30,20400万股
2011-12-31,20400万股
2012-06-30,20400万股
2012-12-31,20400万股
2013-06-30,20400万股
2013-12-31,20400万股
2014-06-30,20400万股
2014-07-31,20600.31万股
2014-08-19,20687.85万股
2014-08-22,20694.95万股
2014-09-05,20727.57万股
2014-09-18,20729.65万股
2014-09-30,20738万股
2014-12-29,20787.54万股
2014-12-31,20787.75万股
2015-07-13,22631.8404万股
2015-10-30,22998.7654万股
2015-11-20,23025.9254万股
2016-01-29,23170.3604万股
