code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,total
600152,维科精华,0.877,10.35,10.26,10.42,10.21,10.26,650101,0.2215,301125.0492
600802,福建水泥,0.127,7.9,7.83,7.92,7.83,7.89,755900,0.19795,301298.322474
000593,大通燃气,0.0,10.85,10.73,10.9,10.7,10.85,592616,0.26554,303735.11917
300243,瑞丰高材,0.678,14.85,14.62,14.87,14.6,14.75,222900,0.16749,304080.159
600137,浪莎股份,0.511,31.46,31.48,31.48,31.07,31.3,542700,0.55823,304291.05044
600137,浪莎股份,0.511,31.46,31.48,31.48,31.07,31.3,542700,0.55823,304291.05044
600980,北矿磁材,-0.05,19.99,19.78,20.08,19.78,20.0,416828,0.32064,304419.76
600306,商业城,-1.807,16.85,16.87,16.95,16.6,17.16,1278849,0.72086,305686.383288
600727,鲁北化工,1.375,8.85,8.73,8.86,8.73,8.73,557932,0.15899,306411.307911
600448,华纺股份,0.962,7.35,7.2,7.42,7.17,7.28,3877323,0.9708,307481.065528
600148,长春一东,0.682,22.16,21.8,22.17,21.6,22.01,414249,0.29272,311477.70645
600781,辅仁药业,0.342,17.6,17.48,17.6,17.35,17.54,245401,0.13818,311497.883456
002598,山东章鼓,0.4,10.03,9.99,10.04,9.94,9.99,318900,0.12085,311688.0
002034,美 欣 达,-0.619,36.94,36.45,37.2,36.4,37.17,441247,0.72551,311930.64
600791,京能置业,0.725,6.95,6.87,6.97,6.87,6.9,735381,0.16258,312487.2
600356,恒丰纸业,-0.573,10.41,10.28,10.44,10.22,10.47,788156,0.26383,312771.752766
300472,新元科技,0.171,47.0,46.9,47.18,46.45,46.92,116300,0.69766,312815.64
603088,宁波精达,-0.92,38.79,38.35,38.98,38.21,39.15,190955,0.76382,313200.0
600506,香梨股份,-0.613,21.09,20.92,21.18,20.91,21.22,256350,0.17355,313433.984506
300275,梅安森,1.548,19.02,18.7,19.09,18.6,18.73,706746,0.62004,313794.928
300461,田中精机,1.933,47.98,47.1,48.0,46.58,47.07,216570,1.29838,313862.76
002319,乐通股份,0.064,15.72,15.51,15.8,15.51,15.71,1424646,0.71251,314200.0
600167,联美控股,1.27,15.15,15.0,15.15,14.88,14.96,171532,0.08129,315656.0
600128,弘业股份,0.078,12.81,12.71,12.86,12.71,12.8,434300,0.176,315862.4
002159,三特索道,0.877,23.0,22.81,23.08,22.8,22.8,173382,0.1295,316159.99848
