date,close
2016-02-05,2763.49
2016-02-04,2781.02
2016-02-03,2739.25
2016-02-02,2749.57
2016-02-01,2688.85
2016-01-29,2737.6
2016-01-28,2655.66
2016-01-27,2735.56
2016-01-26,2749.79
2016-01-25,2938.51
2016-01-22,2916.56
2016-01-21,2880.48
2016-01-20,2976.69
2016-01-19,3007.74
2016-01-18,2913.84
2016-01-15,2900.97
2016-01-14,3007.65
2016-01-13,2949.6
2016-01-12,3022.86
2016-01-11,3016.7
2016-01-08,3186.41
2016-01-07,3125
2016-01-06,3361.84
2016-01-05,3287.71
2016-01-04,3296.26
2015-12-31,3539.18
2015-12-30,3572.88
2015-12-29,3563.74
2015-12-28,3533.78
2015-12-25,3627.91
2015-12-24,3612.49
2015-12-23,3636.09
2015-12-22,3651.77
2015-12-21,3642.47
2015-12-18,3578.96
2015-12-17,3580
2015-12-16,3516.19
2015-12-15,3510.35
2015-12-14,3520.67
2015-12-11,3434.58
2015-12-10,3455.5
2015-12-09,3472.44
2015-12-08,3470.07
2015-12-07,3536.93
2015-12-04,3524.99
2015-12-03,3584.82
2015-12-02,3536.91
2015-12-01,3456.31
2015-11-30,3445.4
2015-11-27,3436.3
2015-11-26,3635.55
2015-11-25,3647.93
2015-11-24,3616.11
2015-11-23,3610.31
2015-11-20,3630.5
2015-11-19,3617.06
2015-11-18,3568.47
2015-11-17,3604.8
2015-11-16,3606.96
2015-11-13,3580.84
2015-11-12,3632.9
2015-11-11,3650.25
2015-11-10,3640.49
2015-11-09,3646.88
2015-11-06,3590.03
2015-11-05,3522.82
2015-11-04,3459.64
2015-11-03,3316.7
2015-11-02,3325.08
2015-10-30,3382.56
2015-10-29,3387.32
2015-10-28,3375.2
2015-10-27,3434.34
2015-10-26,3429.58
2015-10-23,3412.43
2015-10-22,3368.74
2015-10-21,3320.68
2015-10-20,3425.33
2015-10-19,3386.7
2015-10-16,3391.35
2015-10-15,3338.07
2015-10-14,3262.44
2015-10-13,3293.23
2015-10-12,3287.66
2015-10-09,3183.15
2015-10-08,3143.36
2015-09-30,3052.78
2015-09-29,3038.14
2015-09-28,3100.76
2015-09-25,3092.35
2015-09-24,3142.69
2015-09-23,3115.89
2015-09-22,3185.62
2015-09-21,3156.54
2015-09-18,3097.92
2015-09-17,3086.06
2015-09-16,3152.26
2015-09-15,3005.17
2015-09-14,3114.8
2015-09-11,3200.23
2015-09-10,3197.89
2015-09-09,3243.09
2015-09-08,3170.45
2015-09-07,3080.42
2015-09-02,3160.17
2015-09-01,3166.62
2015-08-31,3205.99
2015-08-28,3232.35
2015-08-27,3083.59
2015-08-26,2927.29
2015-08-25,2964.97
2015-08-24,3209.91
2015-08-21,3507.74
2015-08-20,3664.29
2015-08-19,3794.11
2015-08-18,3748.16
2015-08-17,3993.67
2015-08-14,3965.33
2015-08-13,3954.56
2015-08-12,3886.32
