,STflg,tradeDate
0,*ST,2012-04-26
1,*ST,2012-04-27
2,*ST,2012-05-02
3,*ST,2012-05-03
4,*ST,2012-05-04
5,*ST,2012-05-07
6,*ST,2012-05-08
7,*ST,2012-05-09
8,*ST,2012-05-10
9,*ST,2012-05-11
10,*ST,2012-05-14
11,*ST,2012-05-15
12,*ST,2012-05-16
13,*ST,2012-05-17
14,*ST,2012-05-18
15,*ST,2012-05-21
16,*ST,2012-05-22
17,*ST,2012-05-23
18,*ST,2012-05-24
19,*ST,2012-05-25
20,*ST,2012-05-28
21,*ST,2012-05-29
22,*ST,2012-05-30
23,*ST,2012-05-31
24,*ST,2012-06-01
25,*ST,2012-06-04
26,*ST,2012-06-05
27,*ST,2012-06-06
28,*ST,2012-06-07
29,*ST,2012-06-08
30,*ST,2012-06-11
31,*ST,2012-06-12
32,*ST,2012-06-13
33,*ST,2012-06-14
34,*ST,2012-06-15
35,*ST,2012-06-18
36,*ST,2012-06-19
37,*ST,2012-06-20
38,*ST,2012-06-21
39,*ST,2012-06-25
40,*ST,2012-06-26
41,*ST,2012-06-27
42,*ST,2012-06-28
43,*ST,2012-06-29
44,*ST,2012-07-02
45,*ST,2012-07-03
46,*ST,2012-07-04
47,*ST,2012-07-05
48,*ST,2012-07-06
49,*ST,2012-07-09
50,*ST,2012-07-10
51,*ST,2012-07-11
52,*ST,2012-07-12
53,*ST,2012-07-13
54,*ST,2012-07-16
55,*ST,2012-07-17
56,*ST,2012-07-18
57,*ST,2012-07-19
58,*ST,2012-07-20
59,*ST,2012-07-23
60,*ST,2012-07-24
61,*ST,2012-07-25
62,*ST,2012-07-26
63,*ST,2012-07-27
64,*ST,2012-07-30
65,*ST,2012-07-31
66,*ST,2012-08-01
67,*ST,2012-08-02
68,*ST,2012-08-03
69,*ST,2012-08-06
70,*ST,2012-08-07
71,*ST,2012-08-08
72,*ST,2012-08-09
73,*ST,2012-08-10
74,*ST,2012-08-13
75,*ST,2012-08-14
76,*ST,2012-08-15
77,*ST,2012-08-16
78,*ST,2012-08-17
79,*ST,2012-08-20
80,*ST,2012-08-21
81,*ST,2012-08-22
82,*ST,2012-08-23
83,*ST,2012-08-24
84,*ST,2012-08-27
85,*ST,2012-08-28
86,*ST,2012-08-29
87,*ST,2012-08-30
88,*ST,2012-08-31
89,*ST,2012-09-03
90,*ST,2012-09-04
91,*ST,2012-09-05
92,*ST,2012-09-06
93,*ST,2012-09-07
94,*ST,2012-09-10
95,*ST,2012-09-11
96,*ST,2012-09-12
97,*ST,2012-09-13
98,*ST,2012-09-14
99,*ST,2012-09-17
100,*ST,2012-09-18
101,*ST,2012-09-19
102,*ST,2012-09-20
103,*ST,2012-09-21
104,*ST,2012-09-24
105,*ST,2012-09-25
106,*ST,2012-09-26
107,*ST,2012-09-27
108,*ST,2012-09-28
109,*ST,2012-10-08
110,*ST,2012-10-09
111,*ST,2012-10-10
112,*ST,2012-10-11
113,*ST,2012-10-12
114,*ST,2012-10-15
115,*ST,2012-10-16
116,*ST,2012-10-17
117,*ST,2012-10-18
118,*ST,2012-10-19
119,*ST,2012-10-22
120,*ST,2012-10-23
121,*ST,2012-10-24
122,*ST,2012-10-25
123,*ST,2012-10-26
124,*ST,2012-10-29
125,*ST,2012-10-30
126,*ST,2012-10-31
127,*ST,2012-11-01
128,*ST,2012-11-02
129,*ST,2012-11-05
130,*ST,2012-11-06
131,*ST,2012-11-07
132,*ST,2012-11-08
133,*ST,2012-11-09
134,*ST,2012-11-12
135,*ST,2012-11-13
136,*ST,2012-11-14
137,*ST,2012-11-15
138,*ST,2012-11-16
139,*ST,2012-11-19
140,*ST,2012-11-20
141,*ST,2012-11-21
142,*ST,2012-11-22
143,*ST,2012-11-23
144,*ST,2012-11-26
145,*ST,2012-11-27
146,*ST,2012-11-28
147,*ST,2012-11-29
148,*ST,2012-11-30
149,*ST,2012-12-03
150,*ST,2012-12-04
151,*ST,2012-12-05
152,*ST,2012-12-06
153,*ST,2012-12-07
154,*ST,2012-12-10
155,*ST,2012-12-11
156,*ST,2012-12-12
157,*ST,2012-12-13
158,*ST,2012-12-14
159,*ST,2012-12-17
160,*ST,2012-12-18
161,*ST,2012-12-19
162,*ST,2012-12-20
163,*ST,2012-12-21
164,*ST,2012-12-24
165,*ST,2012-12-25
166,*ST,2012-12-26
167,*ST,2012-12-27
168,*ST,2012-12-28
169,*ST,2012-12-31
170,*ST,2013-01-04
171,*ST,2013-01-07
172,*ST,2013-01-08
173,*ST,2013-01-09
174,*ST,2013-01-10
175,*ST,2013-01-11
176,*ST,2013-01-14
177,*ST,2013-01-15
178,*ST,2013-01-16
179,*ST,2013-01-17
180,*ST,2013-01-18
181,*ST,2013-01-21
182,*ST,2013-01-22
183,*ST,2013-01-23
184,*ST,2013-01-24
185,*ST,2013-01-25
186,*ST,2013-01-28
187,*ST,2013-01-29
188,*ST,2013-01-30
189,*ST,2013-01-31
190,*ST,2013-02-01
191,*ST,2013-02-04
192,*ST,2013-02-05
193,*ST,2013-02-06
194,*ST,2013-02-07
195,*ST,2013-02-08
196,*ST,2013-02-18
197,*ST,2013-02-19
198,*ST,2013-02-20
199,*ST,2013-02-21
200,*ST,2013-02-22
201,*ST,2013-02-25
202,*ST,2013-02-26
203,*ST,2013-02-27
204,*ST,2013-02-28
205,*ST,2013-03-01
206,*ST,2013-03-04
207,*ST,2013-03-05
208,*ST,2013-03-06
209,*ST,2013-03-07
210,*ST,2013-03-08
211,*ST,2013-03-11
212,*ST,2013-03-12
213,*ST,2013-03-13
214,*ST,2013-03-14
215,*ST,2013-03-15
216,*ST,2013-03-18
217,*ST,2013-03-19
218,*ST,2013-03-20
219,*ST,2013-03-21
220,*ST,2013-03-22
221,*ST,2013-03-25
222,*ST,2013-03-26
223,*ST,2013-03-27
224,*ST,2013-03-28
225,*ST,2013-03-29
226,*ST,2013-04-01
227,*ST,2013-04-02
228,*ST,2013-04-03
229,*ST,2013-04-08
230,*ST,2013-04-09
231,*ST,2013-04-10
232,*ST,2013-04-11
233,*ST,2013-04-12
234,*ST,2013-04-15
235,*ST,2013-04-16
236,*ST,2013-04-17
237,*ST,2013-04-18
238,*ST,2013-04-19
239,*ST,2013-04-22
240,*ST,2013-04-23
241,*ST,2013-04-24
242,*ST,2013-04-25
243,*ST,2013-04-26
244,*ST,2013-05-02
