,STflg,tradeDate
0,*ST,2012-03-23
1,*ST,2012-03-26
2,*ST,2012-03-27
3,*ST,2012-03-28
4,*ST,2012-03-29
5,*ST,2012-03-30
6,*ST,2012-04-05
7,*ST,2012-04-06
8,*ST,2012-04-09
9,*ST,2012-04-10
10,*ST,2012-04-11
11,*ST,2012-04-12
12,*ST,2012-04-13
13,*ST,2012-04-16
14,*ST,2012-04-17
15,*ST,2012-04-18
16,*ST,2012-04-19
17,*ST,2012-04-20
18,*ST,2012-04-23
19,*ST,2012-04-24
20,*ST,2012-04-25
21,*ST,2012-04-26
22,*ST,2012-04-27
23,*ST,2012-05-02
24,*ST,2012-05-03
25,*ST,2012-05-04
26,*ST,2012-05-07
27,*ST,2012-05-08
28,*ST,2012-05-09
29,*ST,2012-05-10
30,*ST,2012-05-11
31,*ST,2012-05-14
32,*ST,2012-05-15
33,*ST,2012-05-16
34,*ST,2012-05-17
35,*ST,2012-05-18
36,*ST,2012-05-21
37,*ST,2012-05-22
38,*ST,2012-05-23
39,*ST,2012-05-24
40,*ST,2012-05-25
41,*ST,2012-05-28
42,*ST,2012-05-29
43,*ST,2012-05-30
44,*ST,2012-05-31
45,*ST,2012-06-01
46,*ST,2012-06-04
47,*ST,2012-06-05
48,*ST,2012-06-06
49,*ST,2012-06-07
50,*ST,2012-06-08
51,*ST,2012-06-11
52,*ST,2012-06-12
53,*ST,2012-06-13
54,*ST,2012-06-14
55,*ST,2012-06-15
56,*ST,2012-06-18
57,*ST,2012-06-19
58,*ST,2012-06-20
59,*ST,2012-06-21
60,*ST,2012-06-25
61,*ST,2012-06-26
62,*ST,2012-06-27
63,*ST,2012-06-28
64,*ST,2012-06-29
65,*ST,2012-07-02
66,*ST,2012-07-03
67,*ST,2012-07-04
68,*ST,2012-07-05
69,*ST,2012-07-06
70,*ST,2012-07-09
71,*ST,2012-07-10
72,*ST,2012-07-11
73,*ST,2012-07-12
74,*ST,2012-07-13
75,*ST,2012-07-16
76,*ST,2012-07-17
77,*ST,2012-07-18
78,*ST,2012-07-19
79,*ST,2012-07-20
80,*ST,2012-07-23
81,*ST,2012-07-24
82,*ST,2012-07-25
83,*ST,2012-07-26
84,*ST,2012-07-27
85,*ST,2012-07-30
86,*ST,2012-07-31
87,*ST,2012-08-01
88,*ST,2012-08-02
89,*ST,2012-08-03
90,*ST,2012-08-06
91,*ST,2012-08-07
92,*ST,2012-08-08
93,*ST,2012-08-09
94,*ST,2012-08-10
95,*ST,2012-08-13
96,*ST,2012-08-14
97,*ST,2012-08-15
98,*ST,2012-08-16
99,*ST,2012-08-17
100,*ST,2012-08-20
101,*ST,2012-08-21
102,*ST,2012-08-22
103,*ST,2012-08-23
104,*ST,2012-08-24
105,*ST,2012-08-27
106,*ST,2012-08-28
107,*ST,2012-08-29
108,*ST,2012-08-30
109,*ST,2012-08-31
110,*ST,2012-09-03
111,*ST,2012-09-04
112,*ST,2012-09-05
113,*ST,2012-09-06
114,*ST,2012-09-07
115,*ST,2012-09-10
116,*ST,2012-09-11
117,*ST,2012-09-12
118,*ST,2012-09-13
119,*ST,2012-09-14
120,*ST,2012-09-17
121,*ST,2012-09-18
122,*ST,2012-09-19
123,*ST,2012-09-20
124,*ST,2012-09-21
125,*ST,2012-09-24
126,*ST,2012-09-25
127,*ST,2012-09-26
128,*ST,2012-09-27
129,*ST,2012-09-28
130,*ST,2012-10-08
131,*ST,2012-10-09
132,*ST,2012-10-10
133,*ST,2012-10-11
134,*ST,2012-10-12
135,*ST,2012-10-15
136,*ST,2012-10-16
137,*ST,2012-10-17
138,*ST,2012-10-18
139,*ST,2012-10-19
140,*ST,2012-10-22
141,*ST,2012-10-23
142,*ST,2012-10-24
143,*ST,2012-10-25
144,*ST,2012-10-26
145,*ST,2012-10-29
146,*ST,2012-10-30
147,*ST,2012-10-31
148,*ST,2012-11-01
149,*ST,2012-11-02
150,*ST,2012-11-05
151,*ST,2012-11-06
152,*ST,2012-11-07
153,*ST,2012-11-08
154,*ST,2012-11-09
155,*ST,2012-11-12
156,*ST,2012-11-13
157,*ST,2012-11-14
158,*ST,2012-11-15
159,*ST,2012-11-16
160,*ST,2012-11-19
161,*ST,2012-11-20
162,*ST,2012-11-21
163,*ST,2012-11-22
164,*ST,2012-11-23
165,*ST,2012-11-26
166,*ST,2012-11-27
167,*ST,2012-11-28
168,*ST,2012-11-29
169,*ST,2012-11-30
170,*ST,2012-12-03
171,*ST,2012-12-04
172,*ST,2012-12-05
173,*ST,2012-12-06
174,*ST,2012-12-07
175,*ST,2012-12-10
176,*ST,2012-12-11
177,*ST,2012-12-12
178,*ST,2012-12-13
179,*ST,2012-12-14
180,*ST,2012-12-17
181,*ST,2012-12-18
182,*ST,2012-12-19
183,*ST,2012-12-20
184,*ST,2012-12-21
185,*ST,2012-12-24
186,*ST,2012-12-25
187,*ST,2012-12-26
188,*ST,2012-12-27
189,*ST,2012-12-28
190,*ST,2012-12-31
191,*ST,2013-01-04
192,*ST,2013-01-07
193,*ST,2013-01-08
194,*ST,2013-01-09
195,*ST,2013-01-10
196,*ST,2013-01-11
197,*ST,2013-01-14
198,*ST,2013-01-15
199,*ST,2013-01-16
200,*ST,2013-01-17
201,*ST,2013-01-18
202,*ST,2013-01-21
203,*ST,2013-01-22
204,*ST,2013-01-23
205,*ST,2013-01-24
206,*ST,2013-01-25
207,*ST,2013-01-28
208,*ST,2013-01-29
209,*ST,2013-01-30
210,*ST,2013-01-31
211,*ST,2013-02-01
212,*ST,2013-02-04
213,*ST,2013-02-05
214,*ST,2013-02-06
215,*ST,2013-02-07
216,*ST,2013-02-08
217,*ST,2013-02-18
218,*ST,2013-02-19
219,*ST,2013-02-20
220,*ST,2013-02-21
221,*ST,2013-02-22
222,*ST,2013-02-25
223,*ST,2013-02-26
224,*ST,2013-02-27
225,*ST,2013-02-28
226,*ST,2013-03-01
227,*ST,2013-03-04
228,*ST,2013-03-05
229,*ST,2013-03-06
230,*ST,2013-03-07
231,*ST,2013-03-08
232,*ST,2013-03-11
233,*ST,2013-03-12
234,*ST,2013-03-13
235,*ST,2013-03-14
236,*ST,2013-03-15
237,*ST,2013-03-18
238,*ST,2013-03-19
239,*ST,2013-03-20
240,*ST,2013-03-21
241,*ST,2013-03-22
242,*ST,2013-03-25
243,*ST,2013-03-26
244,*ST,2013-03-27
245,*ST,2013-03-28
246,*ST,2013-03-29
247,*ST,2013-04-01
248,*ST,2013-04-02
249,*ST,2013-04-03
250,*ST,2013-04-08
251,*ST,2013-04-09
252,*ST,2013-04-10
253,*ST,2013-04-11
254,*ST,2013-04-12
255,*ST,2013-04-15
256,*ST,2013-04-16
257,*ST,2013-04-17
