,STflg,tradeDate
0,S,2010-01-04
1,S,2010-01-05
2,S,2010-01-06
3,S,2010-01-07
4,S,2010-01-08
5,S,2010-01-11
6,S,2010-01-12
7,S,2010-01-13
8,S,2010-01-14
9,S,2010-01-15
10,S,2010-01-18
11,S,2010-01-19
12,S,2010-01-20
13,S,2010-01-21
14,S,2010-01-22
15,S,2010-01-25
16,S,2010-01-26
17,S,2010-01-27
18,S,2010-01-28
19,S,2010-01-29
20,S,2010-02-01
21,S,2010-02-02
22,S,2010-02-03
23,S,2010-02-04
24,S,2010-02-05
25,S,2010-02-08
26,S,2010-02-09
27,S,2010-02-10
28,S,2010-02-11
29,S,2010-02-12
30,S,2010-02-22
31,S,2010-02-23
32,S,2010-02-24
33,S,2010-02-25
34,S,2010-02-26
35,S,2010-03-01
36,S,2010-03-02
37,S,2010-03-03
38,S,2010-03-04
39,S,2010-03-05
40,S,2010-03-08
41,S,2010-03-09
42,S,2010-03-10
43,S,2010-03-11
44,S,2010-03-12
45,S,2010-03-15
46,S,2010-03-16
47,S,2010-03-17
48,S,2010-03-18
49,S,2010-03-19
50,S,2010-03-22
51,S,2010-03-23
52,S,2010-03-24
53,S,2010-03-25
54,S,2010-03-26
55,S,2010-03-29
56,S,2010-03-30
57,S,2010-03-31
58,S,2010-04-01
59,S,2010-04-02
60,S,2010-04-06
61,S,2010-04-07
62,S,2010-04-08
63,S,2010-04-09
64,S,2010-04-12
65,S,2010-04-13
66,S,2010-04-14
67,S,2010-04-15
68,S,2010-04-16
69,S,2010-04-19
70,S,2010-04-20
71,S,2010-04-21
72,S,2010-04-22
73,S,2010-04-23
74,S,2010-04-26
75,S,2010-04-27
76,S,2010-04-28
77,S,2010-04-29
78,S,2010-04-30
79,S,2010-05-04
80,S,2010-05-05
81,S,2010-05-06
82,S,2010-05-07
83,S,2010-05-10
84,S,2010-05-11
85,S,2010-05-12
86,S,2010-05-13
87,S,2010-05-14
88,S,2010-05-17
89,S,2010-05-18
90,S,2010-05-19
91,S,2010-05-20
92,S,2010-05-21
93,S,2010-05-24
94,S,2010-05-25
95,S,2010-05-26
96,S,2010-05-27
97,S,2010-05-28
98,S,2010-05-31
99,S,2010-06-01
100,S,2010-06-02
101,S,2010-06-03
102,S,2010-06-04
103,S,2010-06-07
104,S,2010-06-08
105,S,2010-06-09
106,S,2010-06-10
107,S,2010-06-11
108,S,2010-06-17
109,S,2010-06-18
110,S,2010-06-21
111,S,2010-06-22
112,S,2010-06-23
113,S,2010-06-24
114,S,2010-06-25
115,S,2010-06-28
116,S,2010-06-29
117,S,2010-06-30
118,S,2010-07-01
119,S,2010-07-02
120,S,2010-07-05
121,S,2010-07-06
122,S,2010-07-07
123,S,2010-07-08
124,S,2010-07-09
125,S,2010-07-12
126,S,2010-07-13
127,S,2010-07-14
128,S,2010-07-15
129,S,2010-07-16
130,S,2010-07-19
131,S,2010-07-20
132,S,2010-07-21
133,S,2010-07-22
134,S,2010-07-23
135,S,2010-07-26
136,S,2010-07-27
137,S,2010-07-28
138,S,2010-07-29
139,S,2010-07-30
140,S,2010-08-02
141,S,2010-08-03
142,S,2010-08-04
143,S,2010-08-05
144,S,2010-08-06
145,S,2010-08-09
146,S,2010-08-10
147,S,2010-08-11
148,S,2010-08-12
149,S,2010-08-13
150,S,2010-08-16
151,S,2010-08-17
152,S,2010-08-18
153,S,2010-08-19
154,S,2010-08-20
155,S,2010-08-23
156,S,2010-08-24
157,S,2010-08-25
158,S,2010-08-26
159,S,2010-08-27
160,S,2010-08-30
161,S,2010-08-31
162,S,2010-09-01
163,S,2010-09-02
164,S,2010-09-03
165,S,2010-09-06
166,S,2010-09-07
167,S,2010-09-08
168,S,2010-09-09
169,S,2010-09-10
170,S,2010-09-13
171,S,2010-09-14
172,S,2010-09-15
173,S,2010-09-16
174,S,2010-09-17
175,S,2010-09-20
176,S,2010-09-21
177,S,2010-09-27
178,S,2010-09-28
179,S,2010-09-29
180,S,2010-09-30
181,S,2010-10-08
182,S,2010-10-11
183,S,2010-10-12
184,S,2010-10-13
185,S,2010-10-14
186,S,2010-10-15
187,S,2010-10-18
188,S,2010-10-19
189,S,2010-10-20
190,S,2010-10-21
191,S,2010-10-22
192,S,2010-10-25
193,S,2010-10-26
194,S,2010-10-27
195,S,2010-10-28
196,S,2010-10-29
197,S,2010-11-01
198,S,2010-11-02
199,S,2010-11-03
200,S,2010-11-04
201,S,2010-11-05
202,S,2010-11-08
203,S,2010-11-09
204,S,2010-11-10
205,S,2010-11-11
206,S,2010-11-12
207,S,2010-11-15
208,S,2010-11-16
209,S,2010-11-17
210,S,2010-11-18
211,S,2010-11-19
212,S,2010-11-22
213,S,2010-11-23
214,S,2010-11-24
215,S,2010-11-25
216,S,2010-11-26
217,S,2010-11-29
218,S,2010-11-30
219,S,2010-12-01
220,S,2010-12-02
221,S,2010-12-03
222,S,2010-12-06
223,S,2010-12-07
224,S,2010-12-08
225,S,2010-12-09
226,S,2010-12-10
227,S,2010-12-13
228,S,2010-12-14
229,S,2010-12-15
230,S,2010-12-16
231,S,2010-12-17
232,S,2010-12-20
233,S,2010-12-21
234,S,2010-12-22
235,S,2010-12-23
236,S,2010-12-24
237,S,2010-12-27
238,S,2010-12-28
239,S,2010-12-29
240,S,2010-12-30
241,S,2010-12-31
242,S,2011-01-04
243,S,2011-01-05
244,S,2011-01-06
245,S,2011-01-07
246,S,2011-01-10
247,S,2011-01-11
248,S,2011-01-12
249,S,2011-01-13
250,S,2011-01-14
251,S,2011-01-17
252,S,2011-01-18
253,S,2011-01-19
254,S,2011-01-20
255,S,2011-01-21
