,STflg,tradeDate
0,*ST,2014-03-24
1,*ST,2014-03-25
2,*ST,2014-03-26
3,*ST,2014-03-27
4,*ST,2014-03-28
5,*ST,2014-03-31
6,*ST,2014-04-01
7,*ST,2014-04-02
8,*ST,2014-04-03
9,*ST,2014-04-04
10,*ST,2014-04-08
11,*ST,2014-04-09
12,*ST,2014-04-10
13,*ST,2014-04-11
14,*ST,2014-04-14
15,*ST,2014-04-15
16,*ST,2014-04-16
17,*ST,2014-04-17
18,*ST,2014-04-18
19,*ST,2014-04-21
20,*ST,2014-04-22
21,*ST,2014-04-23
22,*ST,2014-04-24
23,*ST,2014-04-25
24,*ST,2014-04-28
25,*ST,2014-04-29
26,*ST,2014-04-30
27,*ST,2014-05-05
28,*ST,2014-05-06
29,*ST,2014-05-07
30,*ST,2014-05-08
31,*ST,2014-05-09
32,*ST,2014-05-12
33,*ST,2014-05-13
34,*ST,2014-05-14
35,*ST,2014-05-15
36,*ST,2014-05-16
37,*ST,2014-05-19
38,*ST,2014-05-20
39,*ST,2014-05-21
40,*ST,2014-05-22
41,*ST,2014-05-23
42,*ST,2014-05-26
43,*ST,2014-05-27
44,*ST,2014-05-28
45,*ST,2014-05-29
46,*ST,2014-05-30
47,*ST,2014-06-03
48,*ST,2014-06-04
49,*ST,2014-06-05
50,*ST,2014-06-06
51,*ST,2014-06-09
52,*ST,2014-06-10
53,*ST,2014-06-11
54,*ST,2014-06-12
55,*ST,2014-06-13
56,*ST,2014-06-16
57,*ST,2014-06-17
58,*ST,2014-06-18
59,*ST,2014-06-19
60,*ST,2014-06-20
61,*ST,2014-06-23
62,*ST,2014-06-24
63,*ST,2014-06-25
64,*ST,2014-06-26
65,*ST,2014-06-27
66,*ST,2014-06-30
67,*ST,2014-07-01
68,*ST,2014-07-02
69,*ST,2014-07-03
70,*ST,2014-07-04
71,*ST,2014-07-07
72,*ST,2014-07-08
73,*ST,2014-07-09
74,*ST,2014-07-10
75,*ST,2014-07-11
76,*ST,2014-07-14
77,*ST,2014-07-15
78,*ST,2014-07-16
79,*ST,2014-07-17
80,*ST,2014-07-18
81,*ST,2014-07-21
82,*ST,2014-07-22
83,*ST,2014-07-23
84,*ST,2014-07-24
85,*ST,2014-07-25
86,*ST,2014-07-28
87,*ST,2014-07-29
88,*ST,2014-07-30
89,*ST,2014-07-31
90,*ST,2014-08-01
91,*ST,2014-08-04
92,*ST,2014-08-05
93,*ST,2014-08-06
94,*ST,2014-08-07
95,*ST,2014-08-08
96,*ST,2014-08-11
97,*ST,2014-08-12
98,*ST,2014-08-13
99,*ST,2014-08-14
100,*ST,2014-08-15
101,*ST,2014-08-18
102,*ST,2014-08-19
103,*ST,2014-08-20
104,*ST,2014-08-21
105,*ST,2014-08-22
106,*ST,2014-08-25
107,*ST,2014-08-26
108,*ST,2014-08-27
109,*ST,2014-08-28
110,*ST,2014-08-29
111,*ST,2014-09-01
112,*ST,2014-09-02
113,*ST,2014-09-03
114,*ST,2014-09-04
115,*ST,2014-09-05
116,*ST,2014-09-09
117,*ST,2014-09-10
118,*ST,2014-09-11
119,*ST,2014-09-12
120,*ST,2014-09-15
121,*ST,2014-09-16
122,*ST,2014-09-17
123,*ST,2014-09-18
124,*ST,2014-09-19
125,*ST,2014-09-22
126,*ST,2014-09-23
127,*ST,2014-09-24
128,*ST,2014-09-25
129,*ST,2014-09-26
130,*ST,2014-09-29
