,STflg,tradeDate
245,*ST,2011-04-25
246,*ST,2011-04-26
247,*ST,2011-04-27
248,*ST,2011-04-28
249,*ST,2011-04-29
250,*ST,2011-05-03
251,*ST,2011-05-04
252,*ST,2011-05-05
253,*ST,2011-05-06
254,*ST,2011-05-09
255,*ST,2011-05-10
256,*ST,2011-05-11
257,*ST,2011-05-12
258,*ST,2011-05-13
259,*ST,2011-05-16
260,*ST,2011-05-17
261,*ST,2011-05-18
262,*ST,2011-05-19
263,*ST,2011-05-20
264,*ST,2011-05-23
265,*ST,2011-05-24
266,*ST,2011-05-25
267,*ST,2011-05-26
268,*ST,2011-05-27
269,*ST,2011-05-30
270,*ST,2011-05-31
271,*ST,2011-06-01
272,*ST,2011-06-02
273,*ST,2011-06-03
274,*ST,2011-06-07
275,*ST,2011-06-08
276,*ST,2011-06-09
277,*ST,2011-06-10
278,*ST,2011-06-13
279,*ST,2011-06-14
280,*ST,2011-06-15
281,*ST,2011-06-16
282,*ST,2011-06-17
283,*ST,2011-06-20
284,*ST,2011-06-21
285,*ST,2011-06-22
286,*ST,2011-06-23
287,*ST,2011-06-24
288,*ST,2011-06-27
289,*ST,2011-06-28
290,*ST,2011-06-29
291,*ST,2011-06-30
292,*ST,2011-07-01
293,*ST,2011-07-04
294,ST,2011-07-05
295,ST,2011-07-06
296,ST,2011-07-07
297,ST,2011-07-08
298,ST,2011-07-11
299,ST,2011-07-12
300,ST,2011-07-13
301,ST,2011-07-14
302,ST,2011-07-15
303,ST,2011-07-18
304,ST,2011-07-19
305,ST,2011-07-20
306,ST,2011-07-21
307,ST,2011-07-22
308,ST,2011-07-25
309,ST,2011-07-26
310,ST,2011-07-27
311,ST,2011-07-28
312,ST,2011-07-29
313,ST,2011-08-01
314,ST,2011-08-02
315,ST,2011-08-03
316,ST,2011-08-04
317,ST,2011-08-05
318,ST,2011-08-08
319,ST,2011-08-09
320,ST,2011-08-10
321,ST,2011-08-11
322,ST,2011-08-12
323,ST,2011-08-15
324,ST,2011-08-16
325,ST,2011-08-17
326,ST,2011-08-18
327,ST,2011-08-19
328,ST,2011-08-22
329,ST,2011-08-23
330,ST,2011-08-24
331,ST,2011-08-25
332,ST,2011-08-26
333,ST,2011-08-29
334,ST,2011-08-30
335,ST,2011-08-31
336,ST,2011-09-01
337,ST,2011-09-02
338,ST,2011-09-05
339,ST,2011-09-06
340,ST,2011-09-07
341,ST,2011-09-08
342,ST,2011-09-09
343,ST,2011-09-13
344,ST,2011-09-14
345,ST,2011-09-15
346,ST,2011-09-16
347,ST,2011-09-19
348,ST,2011-09-20
349,ST,2011-09-21
350,ST,2011-09-22
351,ST,2011-09-23
352,ST,2011-09-26
353,ST,2011-09-27
354,ST,2011-09-28
355,ST,2011-09-29
356,ST,2011-09-30
357,ST,2011-10-10
358,ST,2011-10-11
359,ST,2011-10-12
360,ST,2011-10-13
361,ST,2011-10-14
362,ST,2011-10-17
363,ST,2011-10-18
364,ST,2011-10-19
365,ST,2011-10-20
366,ST,2011-10-21
367,ST,2011-10-24
368,ST,2011-10-25
369,ST,2011-10-26
370,ST,2011-10-27
371,ST,2011-10-28
372,ST,2011-10-31
373,ST,2011-11-01
374,ST,2011-11-02
375,ST,2011-11-03
376,ST,2011-11-04
377,ST,2011-11-07
378,ST,2011-11-08
379,ST,2011-11-09
380,ST,2011-11-10
381,ST,2011-11-11
382,ST,2011-11-14
383,ST,2011-11-15
384,ST,2011-11-16
385,ST,2011-11-17
386,ST,2011-11-18
387,ST,2011-11-21
388,ST,2011-11-22
389,ST,2011-11-23
390,ST,2011-11-24
391,ST,2011-11-25
392,ST,2011-11-28
393,ST,2011-11-29
394,ST,2011-11-30
395,ST,2011-12-01
396,ST,2011-12-02
397,ST,2011-12-05
398,ST,2011-12-06
399,ST,2011-12-07
400,ST,2011-12-08
401,ST,2011-12-09
402,ST,2011-12-12
403,ST,2011-12-13
404,ST,2011-12-14
405,ST,2011-12-15
406,ST,2011-12-16
407,ST,2011-12-19
408,ST,2011-12-20
409,ST,2011-12-21
